filename,start_time_ms,end_time_ms,duration_ms,model_name,full_path,processing_time_s,input_file
127586_128126.wav,127586,128126,540,silero-vad,output\silero-vad\127586_128126.wav,5.028491,1.wav
129217_129982.wav,129217,129982,765,silero-vad,output\silero-vad\129217_129982.wav,5.028491,1.wav
130497_131198.wav,130497,131198,701,silero-vad,output\silero-vad\130497_131198.wav,5.028491,1.wav
131650_132286.wav,131650,132286,636,silero-vad,output\silero-vad\131650_132286.wav,5.028491,1.wav
133186_134590.wav,133186,134590,1404,silero-vad,output\silero-vad\133186_134590.wav,5.028491,1.wav
135618_137086.wav,135618,137086,1468,silero-vad,output\silero-vad\135618_137086.wav,5.028491,1.wav
137698_140830.wav,137698,140830,3132,silero-vad,output\silero-vad\137698_140830.wav,5.028491,1.wav
142370_142942.wav,142370,142942,572,silero-vad,output\silero-vad\142370_142942.wav,5.028491,1.wav
145570_146142.wav,145570,146142,572,silero-vad,output\silero-vad\145570_146142.wav,5.028491,1.wav
146594_148030.wav,146594,148030,1436,silero-vad,output\silero-vad\146594_148030.wav,5.028491,1.wav
148482_149054.wav,148482,149054,572,silero-vad,output\silero-vad\148482_149054.wav,5.028491,1.wav
150178_152030.wav,150178,152030,1852,silero-vad,output\silero-vad\150178_152030.wav,5.028491,1.wav
152738_153150.wav,152738,153150,412,silero-vad,output\silero-vad\152738_153150.wav,5.028491,1.wav
155298_156862.wav,155298,156862,1564,silero-vad,output\silero-vad\155298_156862.wav,5.028491,1.wav
158530_161950.wav,158530,161950,3420,silero-vad,output\silero-vad\158530_161950.wav,5.028491,1.wav
163138_164894.wav,163138,164894,1756,silero-vad,output\silero-vad\163138_164894.wav,5.028491,1.wav
165282_167614.wav,165282,167614,2332,silero-vad,output\silero-vad\165282_167614.wav,5.028491,1.wav
168706_171230.wav,168706,171230,2524,silero-vad,output\silero-vad\168706_171230.wav,5.028491,1.wav
171970_175934.wav,171970,175934,3964,silero-vad,output\silero-vad\171970_175934.wav,5.028491,1.wav
177602_178270.wav,177602,178270,668,silero-vad,output\silero-vad\177602_178270.wav,5.028491,1.wav
178818_181854.wav,178818,181854,3036,silero-vad,output\silero-vad\178818_181854.wav,5.028491,1.wav
182274_182782.wav,182274,182782,508,silero-vad,output\silero-vad\182274_182782.wav,5.028491,1.wav
183618_186238.wav,183618,186238,2620,silero-vad,output\silero-vad\183618_186238.wav,5.028491,1.wav
186690_187358.wav,186690,187358,668,silero-vad,output\silero-vad\186690_187358.wav,5.028491,1.wav
188194_188894.wav,188194,188894,700,silero-vad,output\silero-vad\188194_188894.wav,5.028491,1.wav
189218_190302.wav,189218,190302,1084,silero-vad,output\silero-vad\189218_190302.wav,5.028491,1.wav
191074_191550.wav,191074,191550,476,silero-vad,output\silero-vad\191074_191550.wav,5.028491,1.wav
192066_194462.wav,192066,194462,2396,silero-vad,output\silero-vad\192066_194462.wav,5.028491,1.wav
197154_198238.wav,197154,198238,1084,silero-vad,output\silero-vad\197154_198238.wav,5.028491,1.wav
198946_199454.wav,198946,199454,508,silero-vad,output\silero-vad\198946_199454.wav,5.028491,1.wav
200258_200894.wav,200258,200894,636,silero-vad,output\silero-vad\200258_200894.wav,5.028491,1.wav
201218_203102.wav,201218,203102,1884,silero-vad,output\silero-vad\201218_203102.wav,5.028491,1.wav
203842_204510.wav,203842,204510,668,silero-vad,output\silero-vad\203842_204510.wav,5.028491,1.wav
205090_207198.wav,205090,207198,2108,silero-vad,output\silero-vad\205090_207198.wav,5.028491,1.wav
209346_209886.wav,209346,209886,540,silero-vad,output\silero-vad\209346_209886.wav,5.028491,1.wav
210370_211006.wav,210370,211006,636,silero-vad,output\silero-vad\210370_211006.wav,5.028491,1.wav
211778_212446.wav,211778,212446,668,silero-vad,output\silero-vad\211778_212446.wav,5.028491,1.wav
213026_213822.wav,213026,213822,796,silero-vad,output\silero-vad\213026_213822.wav,5.028491,1.wav
214210_214974.wav,214210,214974,764,silero-vad,output\silero-vad\214210_214974.wav,5.028491,1.wav
215426_216190.wav,215426,216190,764,silero-vad,output\silero-vad\215426_216190.wav,5.028491,1.wav
217442_219518.wav,217442,219518,2076,silero-vad,output\silero-vad\217442_219518.wav,5.028491,1.wav
220226_222814.wav,220226,222814,2588,silero-vad,output\silero-vad\220226_222814.wav,5.028491,1.wav
223554_224510.wav,223554,224510,956,silero-vad,output\silero-vad\223554_224510.wav,5.028491,1.wav
224962_225822.wav,224962,225822,860,silero-vad,output\silero-vad\224962_225822.wav,5.028491,1.wav
226178_226910.wav,226178,226910,732,silero-vad,output\silero-vad\226178_226910.wav,5.028491,1.wav
227586_228254.wav,227586,228254,668,silero-vad,output\silero-vad\227586_228254.wav,5.028491,1.wav
228578_229310.wav,228578,229310,732,silero-vad,output\silero-vad\228578_229310.wav,5.028491,1.wav
230114_231422.wav,230114,231422,1308,silero-vad,output\silero-vad\230114_231422.wav,5.028491,1.wav
232002_232670.wav,232002,232670,668,silero-vad,output\silero-vad\232002_232670.wav,5.028491,1.wav
233122_233758.wav,233122,233758,636,silero-vad,output\silero-vad\233122_233758.wav,5.028491,1.wav
234594_235166.wav,234594,235166,572,silero-vad,output\silero-vad\234594_235166.wav,5.028491,1.wav
235714_236318.wav,235714,236318,604,silero-vad,output\silero-vad\235714_236318.wav,5.028491,1.wav
236930_237502.wav,236930,237502,572,silero-vad,output\silero-vad\236930_237502.wav,5.028491,1.wav
238050_240382.wav,238050,240382,2332,silero-vad,output\silero-vad\238050_240382.wav,5.028491,1.wav
244290_245246.wav,244290,245246,956,silero-vad,output\silero-vad\244290_245246.wav,5.028491,1.wav
246370_247358.wav,246370,247358,988,silero-vad,output\silero-vad\246370_247358.wav,5.028491,1.wav
248642_249342.wav,248642,249342,700,silero-vad,output\silero-vad\248642_249342.wav,5.028491,1.wav
251650_254270.wav,251650,254270,2620,silero-vad,output\silero-vad\251650_254270.wav,5.028491,1.wav
255074_256541.wav,255074,256541,1467,silero-vad,output\silero-vad\255074_256541.wav,5.028491,1.wav
256866_260926.wav,256866,260926,4060,silero-vad,output\silero-vad\256866_260926.wav,5.028491,1.wav
261634_262174.wav,261634,262174,540,silero-vad,output\silero-vad\261634_262174.wav,5.028491,1.wav
263618_264414.wav,263618,264414,796,silero-vad,output\silero-vad\263618_264414.wav,5.028491,1.wav
265090_266014.wav,265090,266014,924,silero-vad,output\silero-vad\265090_266014.wav,5.028491,1.wav
267970_269566.wav,267970,269566,1596,silero-vad,output\silero-vad\267970_269566.wav,5.028491,1.wav
273282_278494.wav,273282,278494,5212,silero-vad,output\silero-vad\273282_278494.wav,5.028491,1.wav
279970_280542.wav,279970,280542,572,silero-vad,output\silero-vad\279970_280542.wav,5.028491,1.wav
282882_284766.wav,282882,284766,1884,silero-vad,output\silero-vad\282882_284766.wav,5.028491,1.wav
285282_287454.wav,285282,287454,2172,silero-vad,output\silero-vad\285282_287454.wav,5.028491,1.wav
289186_291582.wav,289186,291582,2396,silero-vad,output\silero-vad\289186_291582.wav,5.028491,1.wav
292258_294398.wav,292258,294398,2140,silero-vad,output\silero-vad\292258_294398.wav,5.028491,1.wav
295842_297790.wav,295842,297790,1948,silero-vad,output\silero-vad\295842_297790.wav,5.028491,1.wav
299330_302110.wav,299330,302110,2780,silero-vad,output\silero-vad\299330_302110.wav,5.028491,1.wav
303778_308190.wav,303778,308190,4412,silero-vad,output\silero-vad\303778_308190.wav,5.028491,1.wav
308834_311390.wav,308834,311390,2556,silero-vad,output\silero-vad\308834_311390.wav,5.028491,1.wav
312258_313214.wav,312258,313214,956,silero-vad,output\silero-vad\312258_313214.wav,5.028491,1.wav
313922_314668.wav,313922,314668,746,silero-vad,output\silero-vad\313922_314668.wav,5.028491,1.wav
